Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Body area (product.metafields.shopify.body-area),Color (product.metafields.shopify.color-pattern),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance (product.metafields.shopify.fragrance),Gift set format (product.metafields.shopify.gift-set-format),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Olfactory family (product.metafields.shopify.olfactory-family),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Size (product.metafields.shopify.size),Skin care effect (product.metafields.shopify.skin-care-effect),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pistache-nuage-1,Pistache Nuage,"<p><strong>Pistache Nuage Luxury Body Oil</strong></p>
<p><strong>Product Description</strong></p>
<p><span>Wrap your skin in the delicious softness of </span><span>Pistache Nuage</span><span>—a creamy pistachio gourmand that feels airy, elegant and irresistibly indulgent.</span></p>
<p><span>Luscious pistachio and juicy pear melt into powdery heliotrope and velvety vanilla caramel. A veil of soft white musk creates a smooth, lingering finish that smells luxurious without becoming overly sweet.</span></p>
<p><span>The lightweight oil glides effortlessly across the body, leaving skin feeling silky, moisturized and beautifully perfumed.</span></p>
<p><span><strong>Scent Profile</strong>:</span><span> Creamy Nutty Gourmand</span><span><br> </span></p>
<p><span><strong>Key Notes</strong>:</span><span> Pistachio · Pear · Heliotrope · Vanilla Caramel · White Musk</span><span><br> <br></span><span><strong>Mood</strong>:</span><span> Creamy · Fluffy · Addictive · Sophisticated</span></p>
<p><span>Available in:</span></p>
<ul>
<li>
<span>Luxury Body Oil</span><span> — a luminous, non-shimmer finish</span>
</li>
<li>
<span>Shimmer Oil</span><span> — infused with a delicate golden glow</span>
</li>
</ul>
<p><span>Size:</span><span> 3.4 fl oz / 100 ml</span></p>
<p><span>How to Use:</span><span> Massage onto clean, slightly damp skin. Apply to the shoulders, arms, legs and décolletage for lasting fragrance and a radiant finish.</span></p>
<hr data-start=""1469"" data-end=""1472"">
<h3 data-start=""1474"" data-end=""1492""> <strong data-start=""1481"" data-end=""1492"">Details</strong>
</h3>
<ul data-start=""1493"" data-end=""1575"">
<li data-start=""1493"" data-end=""1510"">
<p data-start=""1495"" data-end=""1510"">Body Oil </p>
</li>
<li data-start=""1511"" data-end=""1532"">
<p data-start=""1513"" data-end=""1532"">Long-lasting wear</p>
</li>
<li data-start=""1533"" data-end=""1543"">
<p data-start=""1535"" data-end=""1543"">Unisex</p>
</li>
<li data-start=""1544"" data-end=""1575"">
<p data-start=""1546"" data-end=""1575"">Hand-blended by Maison Veil</p>
</li>
</ul>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Body oil,"",true,Size,2,,,,,,,,,100.0,shopify,98,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/C788EB60-5548-4861-B813-979E7D59A200.png?v=1788491214,1,"",false,Pistache Nuage Body Oil | Maison Veil,"  Indulge in Pistache Nuage, a luxurious 100ml body oil with creamy pistachio, soft vanilla and airy gourmand warmth. Silky, radiant and unforgettable.",,,,,,,,,,special-occasion,,,,vanilla; other,fall; spring; summer; winter,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/C788EB60-5548-4861-B813-979E7D59A200.png?v=1788491214,g,,,active
pistache-nuage-1,,,,,,,,,30ml,,,,,,,,,100.0,shopify,98,deny,manual,55.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
pistache-nuage-1,,,,,,,,,50ml,,,,,,,,,100.0,shopify,100,deny,manual,75.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
pistache-nuage-1,,,,,,,,,100ml,,,,,,,,,100.0,shopify,99,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
isla-doree,Isla Dorée,"<h2 data-start=""225"" data-end=""247"">Isla <span>DORÉE</span>
</h2>
<p><span>ISLA DORÉE</span></p>
<p><span>MAISON VEIL</span></p>
<p><span>Isla Dorée Body Oil</span></p>
<p><span>A radiant blend of juicy mango, passion fruit, creamy coconut and warm vanilla, softened with luminous white musk. It melts into the skin, leaving a golden glow and an irresistible tropical scent.</span></p>
<p><span>Directions:</span><span> Apply to damp skin after showering. Massage gently until absorbed.</span></p>
<p><span>Ingredients: Sweet Almond Oil, Jojoba Oil, Fractionated Coconut Oil, Vitamin E, Fragrance.</span></p>
<p><span>Fragrance Profile</span></p>
<ul>
<li>
<span>Top:</span><span> Juicy mango, passion fruit and sparkling bergamot</span>
</li>
<li>
<span>Heart:</span><span> Creamy coconut with soft tropical warmth</span>
</li>
<li>
<span>Base:</span><span> Golden vanilla, white musk and smooth woods</span>
</li>
</ul>
<p><span>The Vibe</span></p>
<ul>
<li><span>Radiant, tropical and luxurious</span></li>
<li><span>Creamy, sensual and effortlessly addictive</span></li>
<li><span>Perfect for vacations, daytime glamour and year-round golden skin</span></li>
</ul>
<br>
<hr data-start=""1260"" data-end=""1263"">
<h3 data-start=""1265"" data-end=""1294""> <strong data-start=""1272"" data-end=""1294"">Why You’ll Love It</strong>
</h3>
<ul data-start=""1295"" data-end=""1467"">
<li data-start=""1295"" data-end=""1326"">
<p data-start=""1297"" data-end=""1326"">Warm, addictive scent trail</p>
</li>
<li data-start=""1327"" data-end=""1370"">
<p data-start=""1329"" data-end=""1370"">Compliment-drawing without overpowering</p>
</li>
<li data-start=""1371"" data-end=""1403"">
<p data-start=""1373"" data-end=""1403"">Luxurious on skin and fabric</p>
</li>
<li data-start=""1404"" data-end=""1467"">
<p data-start=""1406"" data-end=""1467"">Designed to evolve beautifully throughout the day and night</p>
</li>
</ul>
<hr data-start=""1469"" data-end=""1472"">
<h3 data-start=""1474"" data-end=""1492""> <strong data-start=""1481"" data-end=""1492"">Details</strong>
</h3>
<ul data-start=""1493"" data-end=""1575"">
<li data-start=""1493"" data-end=""1510"">
<p data-start=""1495"" data-end=""1510"">Eau de Parfum</p>
</li>
<li data-start=""1511"" data-end=""1532"">
<p data-start=""1513"" data-end=""1532"">Long-lasting wear</p>
</li>
<li data-start=""1533"" data-end=""1543"">
<p data-start=""1535"" data-end=""1543"">Unisex</p>
</li>
<li data-start=""1544"" data-end=""1575"">
<p data-start=""1546"" data-end=""1575"">Hand-blended by Maison Veil</p>
</li>
</ul>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Body oil,"",true,Size,2,,,,,,,,,100.0,shopify,98,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/IMG-1858.png?v=1788490459,1,"",false,Isla Dorée Body Oil | Maison Veil,"Isla Dorée Body Oil blends mango, passion fruit, coconut, vanilla and white musk for a luminous tropical glow that leaves skin soft and beautifully scented.",,,,,,,,,,special-occasion,,,,veil-of-fire-fragrance-notes-top-notes-radiant-tropical-fruits-juicy-mango-bright-citrus-spark-heart-notes-lush-rose-soft-white-florals-sun-warmed-sweetness-base-notes-golden-amber-smooth-vanilla-warm-woods,fall; spring; summer; winter,,,,,,g,,,active
isla-doree,,,,,,,,,30ml,,,,,,,,,100.0,shopify,98,deny,manual,55.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
isla-doree,,,,,,,,,50ml,,,,,,,,,100.0,shopify,100,deny,manual,75.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
isla-doree,,,,,,,,,100ml,,,,,,,,,100.0,shopify,99,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
aurora-bloom-1,Aurora Bloom,"<p><strong>As soft as the first light of dawn, Aurora Bloom is a delicate yet intoxicating blend. Bright lychee and a hint of pink pepper add sparkle to the floral heart of white peony, while warm musk keeps it irresistibly sensual.</strong></p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Size,10ml,,,,,,,,,100.0,shopify,100,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/Aurora_Bloom.png?v=1788482965,1,"",false,Aurora Bloom  | Maison Veil,"As soft as the first light of dawn, Aurora Bloom is a delicate yet intoxicating blend. Bright lychee and a hint of pink pepper add sparkle to the floral heart of white peony, while warm musk keeps it irresistibly sensual.",,,,,,,,,,special-occasion,,,,floral-1; fruity,fall; spring; summer; winter,,,,,,g,,,active
aurora-bloom-1,,,,,,,,,30ml,,,,,,,,,100.0,shopify,99,deny,manual,68.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
